sample_idx,ir,red,accel_x,accel_y,accel_z,true_label
0,114985.453125,97645.98960618241,0.034138172213420304,0.01779118044920349,0.9520122052789955,cardiac
1,114903.578125,97623.14661910335,0.02565811104660806,-0.002068469155411763,0.9705533912970741,cardiac
2,114841.65625,97585.90430129942,0.010475616614392209,0.03971677286353639,0.9844373196873241,cardiac
3,114811.03125,97581.2879411159,0.024064873816050734,0.047160602589468595,1.013910446439837,cardiac
4,114821.953125,97566.37662202974,0.018449698762589527,0.017630517004735377,0.9710869404886567,cardiac
5,114875.125,97598.89064099996,0.009583128887276134,0.027944719864593858,0.9959359614271447,cardiac
6,114954.765625,97639.67910035542,0.021653573467609395,0.03679583800931613,0.9784144798045022,cardiac
7,115039.90625,97693.565373029,0.019158852197248024,0.033150077241387604,0.9987621885934188,cardiac
8,115125.3984375,97734.87880755932,0.03606418663598629,0.028442204973124458,0.9853589616660475,cardiac
9,115219.2734375,97739.15256056024,0.025432883903935992,0.007750983114630659,0.9654081100268531,cardiac
10,115317.46875,97790.2917794577,0.028710076713457655,0.02226306495143435,0.9946261443962551,cardiac
11,115399.7890625,97848.13590378611,-0.005465265457621271,0.017910668831571466,0.9810021432940271,cardiac
12,115453.015625,97831.96574318488,0.007036818278949954,-0.010143979570090125,0.9849768977679442,cardiac
13,115484.3671875,97868.69917947322,0.03345956432249286,0.02968644473430388,0.9809858008550129,cardiac
14,115511.1875,97885.98836106244,0.0197768604252455,0.03560979411922086,0.948593732060187,cardiac
15,115541.6171875,97919.6919521068,0.018131951797900437,0.03268790720511704,1.0002319293785127,cardiac
16,115569.34375,97923.37747345607,0.04551095310515045,0.04184322192746436,0.9946884425211937,cardiac
17,115591.7109375,97917.96977614416,0.0245296400917314,0.03689459437742271,0.9819100950788648,cardiac
18,115622.09375,97930.717776536,0.019397179175852222,0.03895185299596802,1.0193616782234263,cardiac
19,115669.03125,97953.14598393973,0.01761099041402387,0.024894823438573344,0.9929772029068151,cardiac
20,115710.859375,97998.15623095435,0.04014805541012085,0.025423152969087478,1.0120403855470672,cardiac
21,115701.1953125,97964.63072830891,0.005500141738568743,0.023338526100474835,0.987027522649717,cardiac
22,115594.4765625,97919.53964662203,0.0317975858614433,0.04205314555216107,0.9673583346282265,cardiac
23,115374.2265625,97832.47368845678,0.006273235612831631,0.03166590583488345,0.9801195953117128,cardiac
24,115073.8203125,97693.1945457712,-0.0028364166347146433,0.042422670639639073,0.9974095512623047,cardiac
25,114768.046875,97557.50652652801,0.027397662452911208,0.019939382065174045,1.0054340767825098,cardiac
26,114533.4921875,97440.55072030023,0.016400600053593197,0.043736215441558396,0.9763250227358606,cardiac
27,114411.40625,97403.37109292691,0.007187968284742987,0.03057105885527004,0.9794650178130441,cardiac
28,114399.5234375,97391.66175910288,0.030131765980532455,0.0316064485896937,0.9761554317320535,cardiac
29,114466.8828125,97445.44551909035,0.021092984014176502,0.022632384800946405,1.0037374924376556,cardiac
30,114575.4453125,97485.51742998802,0.010511705252326937,0.021502573511656273,1.008168553580645,cardiac
31,114701.1875,97530.68551075236,0.0535789008386377,0.05825593570616466,0.9909483451749092,cardiac
32,114839.9453125,97602.12681779651,0.023282820606023366,0.051445159189260056,0.9881334779063305,cardiac
33,114986.4453125,97651.46305917182,0.005354762942939505,0.030360554231583913,0.996772751707982,cardiac
34,115114.421875,97728.6526853239,0.007562755732726278,0.004069599677951362,0.9684490572816885,cardiac
35,115189.2265625,97745.70385903743,0.029981439262584935,0.017534417497206023,0.9878797936144332,cardiac
36,115193.75,97756.5259002602,0.023188380265067577,0.03833538371108085,0.9849764580192979,cardiac
37,115137.8203125,97703.80270376765,0.027480735507209027,0.01582664187502717,0.9845742896148298,cardiac
38,115048.2109375,97688.93817818067,0.004633766183181941,0.046274273104311266,0.9895937515789951,cardiac
39,114952.984375,97616.515228187,0.008910387685545508,0.024123230718565057,0.9866740727891509,cardiac
40,114878.734375,97578.6383557734,0.03050779686987514,0.005576022490172999,0.9744419123756187,cardiac
41,114850.7421875,97592.28457428183,0.014328391226637545,0.06758752434828652,1.00433518338798,cardiac
42,114876.0,97594.46625083352,0.018328224813035848,0.0403658253474489,1.020861542544455,cardiac
43,114934.453125,97636.14533188318,0.01649384109836915,0.024262967457924074,1.0081791531483284,cardiac
44,115000.6484375,97696.4818268448,0.02741263247199414,0.03989286983712524,0.9823766640107913,cardiac
45,115065.2734375,97678.76962972632,0.04886304698514113,0.05552074542985628,0.9984892168330912,cardiac
46,115132.8359375,97711.61382365084,0.030264347572208562,-0.00048776607050075513,0.9995656469024581,cardiac
47,115207.7578125,97757.01966163846,0.017088371191620155,0.03646420523345413,1.0002368911776915,cardiac
48,115285.0078125,97795.32380181868,0.01488062347837587,0.004623040281476455,0.9955181184761135,cardiac
49,115355.53125,97816.31282395891,0.008879245213394074,0.025042154212792225,0.9809323523385871,cardiac
50,115418.4609375,97843.5590224937,0.014876386171172179,-0.004642814358989125,1.0082542069084728,cardiac
51,115477.875,97883.32710927431,0.02380019153489711,0.04666605454744027,1.019697627447149,cardiac
52,115531.890625,97904.355654503,0.020338896838441263,0.0029437234466740854,0.9765916972443062,cardiac
53,115575.4609375,97900.2228399664,0.0018964327865493465,0.022427499998855818,0.9911947196709896,cardiac
54,115610.5703125,97929.98838266826,-0.01003280900534858,0.03505827941326806,0.9673446502007118,cardiac
55,115646.296875,97947.42509267743,0.02446047894200017,0.028234516228296657,0.9852955314121113,cardiac
56,115684.2265625,97947.76758311676,0.018904354160880304,0.0217262022713115,0.9808129283489374,cardiac
57,115704.515625,97976.40962645761,-0.005241345863033313,0.029314757896647538,1.0176830056593498,cardiac
58,115668.09375,97943.61706778985,0.04970742594326907,0.04951309555946046,1.0005870240127734,cardiac
59,115535.6015625,97912.77085306625,0.009852798138800177,0.05124419868001335,0.9891580866833855,cardiac
60,115299.75,97797.30635363657,0.0189668673535539,0.025142158185362567,0.9913794284852744,cardiac
61,115005.6640625,97666.35694973404,0.013471776476179156,0.02815207514894566,0.9737310133690911,cardiac
62,114726.15625,97533.16848965466,0.014395044428892223,0.06350611190812984,0.9889560895805708,cardiac
63,114519.7890625,97449.45320508935,0.016420091528423556,0.037163160443415603,1.0006218273255518,cardiac
64,114416.046875,97375.61959555389,0.003293467112418902,0.02594088878261152,1.0037741376140215,cardiac
65,114413.6953125,97387.57999038965,0.024047564436081584,0.030739375894410257,1.013310265029131,cardiac
66,114481.3203125,97439.74869943534,0.009833408605405344,0.030004255227053134,0.9821991200211739,cardiac
67,114579.734375,97445.67978432016,0.042354623436143615,-0.0006704857191085455,0.9799478745677436,cardiac
68,114689.1875,97538.46679276972,0.012062645509581237,0.038396373602594,0.9990941321416429,cardiac
69,114809.1171875,97552.34528031689,0.04092791390358097,0.0046603131076857415,1.0012571251354572,cardiac
70,114938.5390625,97646.83342998747,0.015600802035675407,0.018105791384876842,0.9980935280005878,cardiac
71,115059.6875,97676.10520945431,0.006197906258965272,-0.003252149305957932,0.9844467226661605,cardiac
72,115141.34375,97736.40128121263,-0.002466562774628551,0.017971395111697715,0.9955733214562665,cardiac
73,115161.5,97735.54943306129,0.02467999618421237,0.0513046024309831,0.9870051787958477,cardiac
74,115122.5546875,97693.39670334314,-0.0029999738582178297,0.01594823342467894,0.9762092366306059,cardiac
75,115045.8671875,97701.44395869087,0.0017326226231262655,0.033601575737097086,0.9803215149305214,cardiac
76,114959.1875,97666.19327228035,-0.009660592250305113,0.03729931310607509,0.9883286014693994,cardiac
77,114888.8359375,97612.6259038575,0.02535255917528808,0.02819894182373626,0.9994748210122256,cardiac
78,114856.2265625,97595.15610836493,0.020570281205233035,0.04491727714966007,0.9963747418496584,cardiac
79,114869.765625,97602.82403545795,0.02588101435082605,0.03227707430176811,0.9681504338614692,cardiac
80,114916.375,97611.10288010581,0.0175304637229442,0.021988105179682263,0.9931132008174073,cardiac
81,114973.296875,97667.25459134385,-0.00038041246444437543,0.05013255543191497,0.9915658299623479,cardiac
82,115032.515625,97668.68866097156,0.0018302368902398912,-0.0002750365038925971,0.9857806905941899,cardiac
83,115103.2734375,97707.19762125713,0.018654868806103012,0.01431603286788787,0.9913817074188588,cardiac
84,115190.828125,97734.59009389946,0.010382363491406591,0.03309241051661164,0.9791318727241667,cardiac
85,115282.359375,97777.3721934517,0.01942249662342612,0.03922249259782755,1.0285750332436543,cardiac
